#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B	Official Symbol Interactor A-B
872017	10014	6907	115331	112770	-	-	HDAC5	TBL1X	HD5|NY-CO-9	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Joshi P (2013)	PUBMED:23752268	9606	9606	High Throughput	0,81	-	Prey proteins with a SAINT score of >= 0.90 in HDAC1 and HDAC2, >= and 0.75 in HDAC3-10 were considered putative protein interactions, while prey proteins with SAINT scores of > 0.95 in both HDAC11 biological replicates were considered as putative interactions.	-	BIOGRID	Q9UQL6	-	NP_005465|NP_001369322|NP_001015053	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	HDAC5
872061	51564	6907	119613	112770	-	-	HDAC7	TBL1X	HD7A|HDAC7A	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Joshi P (2013)	PUBMED:23752268	9606	9606	High Throughput	1	-	Prey proteins with a SAINT score of >= 0.90 in HDAC1 and HDAC2, >= and 0.75 in HDAC3-10 were considered putative protein interactions, while prey proteins with SAINT scores of > 0.95 in both HDAC11 biological replicates were considered as putative interactions.	-	BIOGRID	Q8WUI4	-	NP_056216|NP_001091886|NP_001295019|NP_001354975	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	HDAC7
893618	1747	6907	108091	112770	-	-	DLX3	TBL1X	AI4|TDO	EBI|SMAP55|TBL1	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	O60479	-	NP_005211	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	DLX3
893800	3240	6907	109480	112770	-	-	HP	TBL1X	BP|HP2ALPHA2|HPA1S	EBI|SMAP55|TBL1	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	P00738	Q6PEJ8	NP_005134|NP_001119574	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	HP
894418	10657	6907	115900	112770	-	-	KHDRBS1	TBL1X	Sam68|p62|p68	EBI|SMAP55|TBL1	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q07666	-	NP_006550|NP_001258807	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	KHDRBS1
894462	11080	6907	116263	112770	-	-	DNAJB4	TBL1X	DNAJW|DjB4|HLJ1	EBI|SMAP55|TBL1	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UDY4	B4DNN2	NP_001304030|NP_001304031|NP_001304029|NP_001304028|NP_008965	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	DNAJB4
948116	2874	6907	109132	112770	-	-	GPS2	TBL1X	AMF-1	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Bi H (2014)	PUBMED:24943844	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13227	-	NP_004480	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	GPS2
1182503	8468	6907	114046	112770	-	-	FKBP6	TBL1X	FKBP36	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0,911332529	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.911332529, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	O75344	-	NP_003593|NP_001268233|NP_001128683	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	FKBP6
1185167	2874	6907	109132	112770	-	-	GPS2	TBL1X	AMF-1	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0,999999691	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999999691, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q13227	-	NP_004480	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	GPS2
1191274	81628	6907	123563	112770	-	-	TSC22D4	TBL1X	THG-1|THG1|TILZ2	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0,996183335	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.996183335, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9Y3Q8	-	NP_001289972|NP_112197	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	TSC22D4
